comments,Label,,,,,,,,,,,,,,,,,,
b'Durant Goth I think I died laughing at this',0,,,,,,,,,,,,,,,,,,
"b'Andrew Scheid, look what they did now! This is great!'",0,,,,,,,,,,,,,,,,,,
b'That\xe2\x80\x99s a hell lot of sex for Christmas!! \xf0\x9f\x98\xb5',1,,,,,,,,,,,,,,,,,,
b'Kimberly Maupin them tree frogs',0,,,,,,,,,,,,,,,,,,
b'Its very interesting',0,,,,,,,,,,,,,,,,,,
"b""Nat ear btw, u n me baby r nothing but mammels, so lets do lit like the discovery channel!! love ya sis. I'm having my first Eva birthday in March, will you plse comexx""",0,,,,,,,,,,,,,,,,,,
"b'Hi, my name is Allan, I am a man, I have money, a wonderful car, and a house. I have great muscles. Of course I am an athlete looking for a girl friend'",1,,,,,,,,,,,,,,,,,,
b'I feel bad for the sad rat!',0,,,,,,,,,,,,,,,,,,
b'That song will never be the same again. Thought I was going to be watching animal kingdom doco . yes I watched it all n well done.',0,,,,,,,,,,,,,,,,,,
b'hahaha its soo funny!!!\xf0\x9f\x98\x9b',0,,,,,,,,,,,,,,,,,,
"b'On the first day of Wild Sex, the Conservative said to me: I am for that liberal horny, On the second day of Wild Sex the Conservative said to me: I need some liberal dick in my pussy!'",1,,,,,,,,,,,,,,,,,,
b'Merry XXXmas!!',0,,,,,,,,,,,,,,,,,,
"b""tv2 real love program, why do wemen complain over a  man's behavior becouse when a man and a woman are dating, some wemen  ask men to have sex, what can you say about this?""",1,,,,,,,,,,,,,,,,,,
b'Can you see these any place besides Facebook?',0,,,,,,,,,,,,,,,,,,
b'hai girls woman I am free who want Vedio call ping me have fun bb',1,,,,,,,,,,,,,,,,,,
"b'This is insane, hahaha \xf0\x9f\xa4\xa3'",0,,,,,,,,,,,,,,,,,,
b'This is Christmas! Omg. Hehehe.',0,,,,,,,,,,,,,,,,,,
b'Unfortunately I can\xe2\x80\x99t share this!\xf0\x9f\x98\xad\xf0\x9f\x92\x94\xf0\x9f\x96\xa4',0,,,,,,,,,,,,,,,,,,
b'Its all Gods creature which shows his greatness',0,,,,,,,,,,,,,,,,,,
